epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
102,1906.09,1.96477,1.08217,0.00229,0.71191,0.51386,0.57898,0.31409,1.97983,1.23188,0.00324,0.0013334,0.0013334,0.0013334
103,1924.98,2.00084,1.10481,0.00222,0.73379,0.50809,0.58504,0.31872,1.96835,1.22567,0.00322,0.0013268,0.0013268,0.0013268
104,1943.83,1.98575,1.10338,0.00228,0.72806,0.5095,0.58132,0.31592,1.99102,1.21004,0.00325,0.0013202,0.0013202,0.0013202
105,1962.47,1.99801,1.09424,0.00227,0.70077,0.50061,0.56995,0.31422,1.99118,1.24282,0.00321,0.0013136,0.0013136,0.0013136
106,1981.57,2.01271,1.09708,0.00227,0.71094,0.52188,0.58764,0.3203,1.9733,1.21995,0.00319,0.001307,0.001307,0.001307
107,2000.54,2.00667,1.10434,0.00226,0.69256,0.5106,0.57514,0.31499,1.97332,1.24452,0.0032,0.0013004,0.0013004,0.0013004
108,2019.34,1.95723,1.08949,0.00222,0.69339,0.51877,0.57694,0.31913,1.9727,1.23802,0.00322,0.0012938,0.0012938,0.0012938
109,2038.04,1.98428,1.0955,0.00222,0.70184,0.51814,0.58021,0.31834,1.97424,1.23925,0.00323,0.0012872,0.0012872,0.0012872
110,2056.64,1.98638,1.0882,0.00224,0.7046,0.51893,0.58185,0.31462,1.99282,1.21831,0.00328,0.0012806,0.0012806,0.0012806
111,2074.84,1.99889,1.08981,0.00226,0.70131,0.52505,0.58983,0.31705,1.98917,1.22584,0.00326,0.001274,0.001274,0.001274
112,2093.27,1.98849,1.08788,0.00225,0.69382,0.50919,0.57283,0.31138,1.98198,1.24694,0.00324,0.0012674,0.0012674,0.0012674
113,2111.74,1.98868,1.10041,0.00229,0.70888,0.50322,0.57591,0.31235,1.99364,1.22719,0.00327,0.0012608,0.0012608,0.0012608
114,2130.5,1.96709,1.07197,0.00221,0.71924,0.51076,0.58137,0.31758,1.98521,1.21496,0.00327,0.0012542,0.0012542,0.0012542
115,2149.19,1.978,1.07795,0.00221,0.72935,0.51547,0.5872,0.31793,1.97845,1.20368,0.00322,0.0012476,0.0012476,0.0012476
116,2167.92,1.96038,1.07652,0.00225,0.72372,0.51374,0.59049,0.32542,1.96196,1.19894,0.00319,0.001241,0.001241,0.001241
117,2187.1,1.97213,1.07878,0.00218,0.70842,0.51437,0.58216,0.32063,1.96486,1.20717,0.00321,0.0012344,0.0012344,0.0012344
118,2205.65,1.98844,1.0855,0.00222,0.71209,0.51578,0.5829,0.31758,1.98304,1.1913,0.00325,0.0012278,0.0012278,0.0012278
119,2223.83,1.95139,1.06952,0.00224,0.71913,0.51767,0.58969,0.32442,1.95297,1.20325,0.00316,0.0012212,0.0012212,0.0012212
120,2242.19,1.95715,1.06249,0.00221,0.72078,0.51217,0.58741,0.31999,1.99141,1.22274,0.00325,0.0012146,0.0012146,0.0012146
121,2260.6,1.95395,1.0686,0.00221,0.71452,0.51453,0.58406,0.32015,1.96959,1.2219,0.00319,0.001208,0.001208,0.001208
122,2278.96,1.94257,1.06784,0.00223,0.73169,0.50155,0.57639,0.31729,1.99005,1.21938,0.00331,0.0012014,0.0012014,0.0012014
123,2297.3,1.93989,1.06905,0.00224,0.7258,0.50966,0.57908,0.31897,1.97301,1.22477,0.00325,0.0011948,0.0011948,0.0011948
124,2315.45,1.9535,1.05832,0.00221,0.71224,0.51406,0.58045,0.31626,1.98648,1.22108,0.00325,0.0011882,0.0011882,0.0011882
125,2334.38,1.95087,1.05388,0.00219,0.733,0.5144,0.59013,0.32282,1.97792,1.20064,0.00326,0.0011816,0.0011816,0.0011816
126,2352.69,1.92133,1.04259,0.00216,0.72162,0.51924,0.58628,0.32327,1.9691,1.24044,0.00319,0.001175,0.001175,0.001175
127,2371.43,1.9757,1.06432,0.00221,0.69905,0.53338,0.59247,0.32326,1.95442,1.2075,0.00322,0.0011684,0.0011684,0.0011684
128,2389.7,1.9661,1.07017,0.0022,0.71598,0.51783,0.58288,0.32246,1.99469,1.18772,0.00327,0.0011618,0.0011618,0.0011618
129,2408.32,1.95179,1.05506,0.00221,0.73298,0.51861,0.59042,0.32264,1.99099,1.18619,0.00329,0.0011552,0.0011552,0.0011552
